csv_link,description,name
http://data.ok.gov/sites/default/files/res_2014_report_of_underutilized_properties-_tier_2_map_g86i-9jn5.csv,"The Tier 2 Underutilized Property Report contains only underutilized properties that are suitable for divestment by the State of Oklahoma.  Properties located within a campus or with deed restrictions, reversion clauses or located within a campus do not appear in the Tier 2 Underutilized Report.  Properties with future plans for utilization, generating an income, used in support of the agency mission or with environmental issues that make them unsuitable for divestment are excluded from the Tier 2 Underutilized Property Report.   Underutilized properties are defined as buildings, facilities, and land that were reported as being utilized 50% or less.","
      2014 Report Of Underutilized Properties- Tier 2    "
http://data.ok.gov/sites/default/files/res_recurring_findings_huug-eu9e.csv,Decrease the percentage of recurring findings in state agency audits from 38% in 2014 to 30% by 2018.,"
      Recurring Findings    "
http://data.ok.gov/sites/default/files/res_funding_summary_-_fiscal_year_2012_fjh8-nnc9.csv,"The Funding dataset provides information for the current fiscal year (to-date) and the three prior fiscal years. The funding information is first presented by high-level funding categories including: • Assets Held for Others • Taxes and Interest Income • Licenses, Permits, Tuition, Fees and Other • Federal Grants • Appropriations Each Funding category (class) may be further viewed by sub-class and detail funding type.","
      Funding Summary - Fiscal Year 2012    "
http://data.ok.gov/sites/default/files/res_state_of_oklahoma_capital_asset_utilization_by_function_-_primary_government_ftuz-5ard.csv,Data showing the capital asset use by primary function of State of Oklahoma government.,"
      State of Oklahoma Capital Asset Utilization by Function - Primary Government    "
http://data.ok.gov/sites/default/files/res_rural_highway_shoulders_hutk-iuyg.csv,"Decrease the miles of rural highways without shoulders from 4,608 in 2013 to 4,528 by 2017.","
      Rural Highway Shoulders    "
http://data.ok.gov/sites/default/files/res_revolving_funds_april_2015_hekz-emw3.csv,A detailed listing of all state revolving funds and the amount.,"
      Revolving Funds April 2015    "
http://data.ok.gov/sites/default/files/res_labor_force_participation_gzqy-je9k.csv,Increase the total labor force participation rate from 61.61% in 2013 to 64.00% by 2017.,"
      Labor Force Participation    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_april_2012_gvxq-b9nf.csv,A detailed listing of all state revolving funds and the amount contained in each fund to be updated on a monthly basis,"
      Revolving Funds - April 2012    "
http://data.ok.gov/sites/default/files/res_go_green_oklahoma%3A_paper_savings_hsss-gdgd.csv,"Go Green Oklahoma is an OK.gov initiative showcasing how Oklahoma eGovernment is helping to reduce the carbon footprint by reducing paper consumption and citizen travel  to government facilities.,Currently, the 'Go Green Oklahoma' study provides data from online services provided by the state of Oklahoma. We invite state agencies to report their online services that reduce paper consumption and/or carbon emissions, to be included in our dataset.  The data consists of conservative estimates limited to the date ranges of January 2007–December 2010. Learn more at ","
      Go Green Oklahoma: Paper Savings    "
http://data.ok.gov/sites/default/files/res_meningococcal_vaccination_-_column_chart_2b56-pd78.csv,Increase the percentage of adolescents ages 13-17 who have completed 1 dose of the meningococcal vaccine from 63.8% in 2012 to 70% by 2018.,"
      Meningococcal Vaccination    "
http://data.ok.gov/sites/default/files/res_state_of_oklahoma_payroll_q3_2014_fgs5-8dye.csv,"The payroll data represents the amount paid to an employee during the reported time period. In addition to regular pay, these amounts may include other pay types such as overtime, longevity, shift differential or terminal pay. This amount does not include any state share costs associated with the payroll i.e. FICA, state share retirement, etc. This amount may vary from an employee’s ‘salary’ due to pay adjustments or pay period timing. The payroll information will be updated monthly after the end of the month. For example, July information will be added in August.","
      State of Oklahoma Payroll Q3 2014    "
http://data.ok.gov/sites/default/files/res_2014_report_of_underutilized_properties-_tier_1_map_ps66-gadt.csv,"The Tier 1 Underutilized Property Report contains all properties owned by the State of Oklahoma that were reported to the Office of Management and Enterprise Services as being underutilized.  Underutilized properties are defined as buildings, facilities, and land that were reported as being utilized 50% or less.","
      2014 Report Of Underutilized Properties- Tier 1    "
http://data.ok.gov/sites/default/files/res_oklahoma_lottery_commission_retailer_ranking_from_july_1%2C_2010-june_30%2C_2011_gif8-bb3z.csv,"Oklahoma Lottery Commission retailer ranking based on total sales for all retailers and terminal types from July 1, 2010 to June 30, 2011.","
      Oklahoma Lottery Commission Retailer Ranking From July 1, 2010-June 30, 2011    "
http://data.ok.gov/sites/default/files/res_tax_credits_-_fiscal_year_2011_jt2d-fkhg.csv,Tax credit information represents a credit pursuant to the Oklahoma Income Tax Act against tax liability which is taken by a taxpayer.,"
      Tax Credits - Fiscal Year 2011    "
http://data.ok.gov/sites/default/files/res_2012_annual_cio_survey_favorability_results_yt3c-yest.csv,Results from the 2012 chief information officer annual survey which evaluates customer key information technology services areas and their value.,"
      2012 Annual CIO Study Results    "
http://data.ok.gov/sites/default/files/res_violent_crimes_-_line_chart_as9p-x59n.csv,"Decrease  the rate of violent crime from 4.4 per 1,000 in 2013 to 4 per 1,000 by 2017.","
      Violent Crimes    "
http://data.ok.gov/sites/default/files/res_2014_omes_mineral_interest_inventory_list_j2zp-4x8p.csv,The Mineral Interest List is a historical listing of oil and gas leases under the authority of the Office of Management and Enterprise Services.,"
      2014 OMES Mineral Interest Inventory List    "
http://data.ok.gov/sites/default/files/res_oklahoma_public_school_site_directory_%28november_2014%29_iazg-6avi.csv,Oklahoma Public School Site Directory (November 2014),"
      Oklahoma Public School Site Directory (November 2014)    "
http://data.ok.gov/sites/default/files/res_benefit_allowance_cost_trend_iz5g-gb92.csv,Cost information for the State of Oklahoma employee benefit allowance beginning in fiscal year 2007.,"
      Benefit Allowance Cost Trend    "
http://data.ok.gov/sites/default/files/res_merit_system_testing_locations_map_n6vg-iawr.csv,"List of State of Oklahoma merit system testing locations, which include the Office of Management and Enterprise Services (OMES) Human Capital Management (HCM) office in Oklahoma City and at select Career Technology Centers and Workforce Oklahoma Offices around the state.","
      Merit System Testing Locations    "
http://data.ok.gov/sites/default/files/res_oklahoma%E2%80%99s_promise_%28ohlap%29_scholarship_ksur-4jyy.csv,Increase the percentage of eligible students who enroll in the Oklahoma’s Promise (OHLAP) scholarship program from 48.8% in 2014 to 50.8% by 2018.,"
      Oklahoma’s Promise (OHLAP) Scholarship    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_november_2012_kjug-pdpk.csv,A detailed listing of all state revolving funds and the amount contained in each fund to be updated on a monthly basis,"
      Revolving Funds - November 2012    "
http://data.ok.gov/sites/default/files/res_oklahoma_lottery_commission_retailer_ranking_from_july_1%2C_2007-june_30%2C_2008_ia3d-bgv7.csv,"Oklahoma Lottery Commission retailer ranking based on total sales for all retailers and terminal types from July 1, 2007 to June 30, 2008.","
      Oklahoma Lottery Commission Retailer Ranking From July 1, 2007-June 30, 2008    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_june_2013_i4b3-tzp9.csv,A detailed listing of all state revolving funds and the amount,"
      Revolving Funds - June 2013    "
http://data.ok.gov/sites/default/files/res_revolving_funds_march_2015_hzr9-b2hi.csv,A detailed listing of all state revolving funds and the amount.,"
      Revolving Funds March 2015    "
http://data.ok.gov/sites/default/files/res_oklahoma_post_offices_k8q7-jcbn.csv,Find Post Offices in the state of Oklahoma.,"
      Oklahoma Post Offices    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_november_2013_kbs9-hp7j.csv,A detailed listing of all state revolving funds and the amount.,"
      Revolving Funds - November 2013    "
http://data.ok.gov/sites/default/files/res_selected_oklahoma_demographic_information_kcez-t9yx.csv,"Three-year trend of selected demographic information for the State of Oklahoma, including population, unemployment rate, and per capita income.","
      Selected Oklahoma Demographic Information    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_february_2014_k5uk-ujhc.csv,in house,"
      Revolving Funds - February 2014    "
http://data.ok.gov/sites/default/files/res_energy_star_portfolio_building_rating_trend_column_chart_6m7g-hd67.csv,Energy Star rankings for buildings managed by the Office of Management and Enterprise Services (OMES) Division of Capital Assets Management (DCAM).,"
      Energy Star Portfolio (State-Managed Buildings)    "
http://data.ok.gov/sites/default/files/res_stormready_oklahoma_jurisdictions_jwms-dkkk.csv,Increase the number of StormReady Oklahoma jurisdictions from 95 in 2014 to 108 by 2017.,"
      StormReady Oklahoma Jurisdictions    "
http://data.ok.gov/sites/default/files/res_kindergarten_enrollment_k6hj-h56r.csv,Increase the percentage of kindergarteners who are enrolled in public school full-day Kindergarten from 97.7% in 2014 to 99% by 2018.,"
      Kindergarten Enrollment    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_march_2013_m7f8-3kuu.csv,A detailed listing of all state revolving funds and the amount.,"
      Revolving Funds - March 2013    "
http://data.ok.gov/sites/default/files/res_classified_employee_turnover_rates_msjz-ts4x.csv,Turnover rates for State of Oklahoma classified employees beginning in fiscal year 2000.,"
      Classified Employee Turnover Rates    "
http://data.ok.gov/sites/default/files/res_state_of_oklahoma_vendor_payments_fiscal_year_2015_maqc-icnw.csv,"The vendor payment dataset contains payments made by state agencies and institutions of higher education that are processed through the Office of Management and Enterprise Services. These payments reflect disbursements from a state fund for the purchase of goods received, services performed, reimbursements, and payments to other governments. Travel reimbursements include the zip code of the State Capitol and not the individual’s address. For security and privacy reasons, payments related to “confidential matters” are included in the dataset; however, the payee name is replaced with “Protected Information” and the address is changed to the State Capitol address. . Also, some state agencies are authorized to make payments outside of the Office of Management and Enterprise Services from certain authorized funds. In these cases, the agency reports only the total amount of the expenditures to the Office of Management and Enterprise Services but does not report the detailed vendor payment information. Therefore, these payment details are not included in the dataset.","
      State of Oklahoma Vendor Payments Fiscal Year 2015    "
http://data.ok.gov/sites/default/files/res_state_of_oklahoma_-_training_for_industry_%28_tip%29_and_training_for_growth_economic_development_programs_fy2013_-_fy_2008_m4nf-qj8k.csv,State of Oklahoma - Training for Industry (TIP) and Training for Growth Economic Development Programs FY 2013 – FY 2008,"
      State Of Oklahoma - Training For Industry ( TIP) And Training For Growth Economic Development Programs FY2013 - FY 2008    "
http://data.ok.gov/sites/default/files/res_tanf_training_programs_mge5-ywwx.csv,Increase the number of TANF (Temporary Assistance for Needy Families) clients who complete career and technology programs or special projects in two-year colleges from 555 in 2014 to 700 by 2018.,"
      TANF Training Programs    "
http://data.ok.gov/sites/default/files/res_online_state_license_applications_n3wn-iwst.csv,Increase the percentage of state license applications (new and renewal) available on OK.gov from 32% in 2014 to 54% by 2018.,"
      Online State License Applications    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_february_2013_m44v-wzx8.csv,A detailed listing of all state revolving funds and the amount,"
      Revolving Funds - February 2013    "
http://data.ok.gov/sites/default/files/res_oklahoma_lottery_commission_retailer_ranking_from_july_1%2C_2009-june_30%2C_2010_m28t-u45h.csv,"Oklahoma Lottery Commission retailer ranking based on total sales for all retailers and terminal types from July 1, 2009 to June 30, 2010.","
      Oklahoma Lottery Commission Retailer Ranking From July 1, 2009-June 30, 2010    "
http://data.ok.gov/sites/default/files/res_school_safe_rooms_-_column_chart_spq5-ccer.csv,Increase the number of school safe rooms built to industry standards from 91 in 2014 to 170 by 2017.,"
      School Safe Rooms    "
http://data.ok.gov/sites/default/files/res_expenditure_summary_-_fiscal_year_2014_kwck-ree7.csv,"Provides expenditure data summarized by each agency and general ledger account. The general ledger account may be viewed by major class, sub-class or detail expenditure code. Examples of the major class expenditure category include: • Personal Services • Travel Expenses • Administrative Expense • Property, Furniture, Equipment and Related Debt • General Assistance, Awards, Grants, & Other • Program-Directed Payments • Transfers and Other Disbursements","
      Expenditure Summary - Fiscal Year 2014    "
http://data.ok.gov/sites/default/files/res_structurally_deficient_bridges_n3yp-72mr.csv,Decrease the number of structurally deficient bridges from 556 in 2013 to 280 by 2017.,"
      Structurally Deficient Bridges    "
http://data.ok.gov/sites/default/files/res_non-violent_crimes_nkzj-t3q3.csv,"Decrease the rate of  non-violent crime from 32.7 per 1,000 in 2013 to 28.3 per 1,000 by 2017.","
      Non-Violent Crimes    "
http://data.ok.gov/sites/default/files/res_vegetable_intake_-_line_chart_5ipb-e5ys.csv,Increase the median intake of vegetables from 1.6 times per day in 2012 to 2.1 times per day by 2017.,"
      Vegetable Intake    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_august_2011_nw63-49d5.csv,A detailed listing of all state revolving funds and the amount contained in each fund to be updated on a monthly basis,"
      Revolving Funds - August 2011    "
http://data.ok.gov/sites/default/files/res_oklahoma_public_libraries_map_3pwb-i38n.csv,Find Public Libraries in the state of Oklahoma.,"
      Oklahoma Public Libraries    "
http://data.ok.gov/sites/default/files/res_oklahoma_quality_jobs_incentive_payments_nepp-r4x3.csv,"This cash-back job creation incentive has moved the State of Oklahoma to the forefront as a location for new manufacturing and service industry investment. The innovative Oklahoma Quality Jobs Program allows qualifying businesses creating new, quality jobs to receive a special incentive to locate or expand in Oklahoma.","
      Oklahoma Quality Jobs Incentive Payments    "
http://data.ok.gov/sites/default/files/res_transportation_and_distribution_employment_nkpe-a4q4.csv,"Increase Transportation and Distribution employment from 122,984 in 2013 to 130,531 by 2017.","
      Transportation And Distribution Employment    "
http://data.ok.gov/sites/default/files/res_p-card_scheduled_pay_cycle_nanb-6sn8.csv,"Actual dates of action associated with the P-Card payments, including deadline for Works editing; when the P-Card download to PeopleSoft will occur each month; the date agencies can begin preparing their P-Card vouchers, and the submission deadline for the vouchers received at OMES each month.","
      P-Card Scheduled Pay Cycle    "
http://data.ok.gov/sites/default/files/res_2013_transportation_department_rights_of_way_inventory_list_ns5c-44g2.csv,"The Oklahoma Department of Transportation maintains approximately 12,260 miles of state and interstate highways. The widths of highway rights of way (ROW) vary depending on the highway's functional classification and other factors. Variation of right of way widths is dependent upon several characteristics such as drainage, topography, geometrics, and utilities. Correspondingly, right of way widths vary anywhere from approximately 80 feet to 300 plus feet based on the necessity at any given location.","
      2013 Transportation Department Rights Of Way Inventory List    "
http://data.ok.gov/sites/default/files/res_2014_report_of_5%25_most_underutilized_properties-_tier_3_npks-m9id.csv,"The Tier 3 Report of the 5% Most Underutilized Properties contains the properties that were deemed to be the most underutilized of all state owned properties.   Underutilized properties are defined as buildings, facilities, and land that were reported as being utilized 50% or less.  Properties deemed unsuitable for divestment were removed from the comprehensive listing of underutilized properties to create the Tier 2 Underutilized Property Report.   Estimated assessed values were assigned to the divestible properties.  The 5% of the total reported underutilized properties that are divestible and have the  highest assessed or estimated value are listed on the Tier 3 Report of the 5% Most Underutilized Properties.","
      2014 Report Of 5% Most Underutilized Properties- Tier 3    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_july_2014_na5p-d95a.csv,A detailed listing of all state revolving funds and the amount.,"
      Revolving Funds - July 2014    "
http://data.ok.gov/sites/default/files/res_state_of_oklahoma_payroll-_q2_2014_p5ns-6stm.csv,"The payroll data represents the amount paid to an employee during the reported time period. In addition to regular pay, these amounts may include other pay types such as overtime, longevity, shift differential or terminal pay. This amount does not include any state share costs associated with the payroll i.e. FICA, state share retirement, etc. This amount may vary from an employee’s ‘salary’ due to pay adjustments or pay period timing. The payroll information will be updated monthly after the end of the month. For example, July information will be added in August.","
      State of Oklahoma Payroll- Q2 2014    "
http://data.ok.gov/sites/default/files/res_tax_credits_-_fiscal_year_2010_pd9h-5mb9.csv,Tax credit information represents  a credit pursuant to the Oklahoma Income Tax Act against tax liability which is taken by a taxpayer.,"
      Tax Credits - Fiscal Year 2010    "
http://data.ok.gov/sites/default/files/res_oklahoma_chambers_of_commerce_nyw8-4mbj.csv,Find all Chambers of Commerce in the state of Oklahoma.,"
      Oklahoma Chambers of Commerce    "
http://data.ok.gov/sites/default/files/res_purchase_card_%28pcard%29_-_fiscal_year_2013_p35f-e3cf.csv,"This dataset contains information on purchases made through the purchase card programs administered by the state and higher ed institutions. The purchase card information will be updated monthly after the end of the month. For example, July information will be added in August.","
      Purchase Card (PCard) - Fiscal Year 2013    "
http://data.ok.gov/sites/default/files/res_type_2_diabetes_-_line_chart_5tvg-srxe.csv,Decrease the percentage of people with Type 2 diabetes from 11.2% in 2014 to 10.1% by 2019.,"
      Type 2 Diabetes    "
http://data.ok.gov/sites/default/files/res_state_of_oklahoma_city_government_websites_p745-3b6c.csv,List of State of Oklahoma city government websites.,"
      State of Oklahoma City Government Websites    "
http://data.ok.gov/sites/default/files/res_2014_diamond_award_winners_by_city_aars-7gv3.csv,"Current OHFA Advantage Lenders
Diamond Award Winners (Top 10 producers) are indicated with an asterisk (*)","
      Current OHFA Advantage Lenders    "
http://data.ok.gov/sites/default/files/res_average_employee_benefit_cost_comparison_rc3m-jvyy.csv,"Breakdown of the employer benefits of the state’s package compared to those of the external labor market. The average cost is calculated based on the employers’ contribution in relation to the respective average state benchmark salary and the average market salary. For dental insurance, the 2012 Survey data not available.  2011 data has been escalated by 4.0% based on trend figures from the Sibson Consulting 2012 Health Plan Cost Trend Survey; for Basic Life Insurance & Disability Insurance, the data comes from the 2010/2011 Towers Watson Survey Report on Employee Benefits Policies & Practices; for sick leave accrual days, the data comes from the 2010/2011 Towers Watson Survey Report on Employee Benefits Policies & Practices; and for the market amount for defined benefit retirement plan, the data comes from the NASRA FY 2011 Public Fund Survey Report.","
      Average Employee Benefit Cost Comparison    "
http://data.ok.gov/sites/default/files/res_statewide_contract_cost_savings_-_line_chart_r2sz-2zye.csv,Increase the amount of annual cost savings resulting from statewide procurement contracts from $20.2 million in 2014 to $30 million by 2019.,"
      Statewide Contract Cost Savings    "
http://data.ok.gov/sites/default/files/res_physical_activity_padm-ykhv.csv,Increase the percentage of the population that have participated in any physical activity in the last 30 days from 71.7% in 2012 to 79.2% by 2017.,"
      Physical Activity    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_january_2014_r368-ysz9.csv,A detailed listing of all state revolving funds and the amount,"
      Revolving Funds - January 2014    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_december_2012_qv5a-x5vw.csv,A detailed listing of all state revolving funds and the amount contained in each fund to be updated on a monthly basis,"
      Revolving Funds - December 2012    "
http://data.ok.gov/sites/default/files/res_state_of_oklahoma_payroll_-_q1_2013_qpr5-p8ug.csv,"The payroll data represents the amount paid to an employee during the reported time period. In addition to regular pay, these amounts may include other pay types such as overtime, longevity, shift differential or terminal pay. This amount does not include any state share costs associated with the payroll i.e. FICA, state share retirement, etc. This amount may vary from an employee’s ‘salary’ due to pay adjustments or pay period timing. The payroll information will be updated monthly after the end of the month. For example, July information will be added in August.","
      State of Oklahoma Payroll - Q1 2013    "
http://data.ok.gov/sites/default/files/res_science_and_technology_exports_-_line_chart_ynrt-4ipt.csv,Increase exports attributable to science and technology industries from $18.04 billion in 2013 to $22.32 billion by 2017.,"
      Science And Technology Exports    "
http://data.ok.gov/sites/default/files/res_oklahoma_public_school_district_directory_%28nov_2014%29_qwje-f2sg.csv,Oklahoma Public School District Directory (Nov 2014),"
      Oklahoma Public School District Directory (Nov 2014)    "
http://data.ok.gov/sites/default/files/res_2013_turnpike_authority_rights_of_way_inventory_list_q268-ucg3.csv,"The Turnpike Authority is authorized to construct, maintain, repair and operate turnpike projects at locations authorized by the Legislature of the State of Oklahoma and approved by the Department of Transportation. The Turnpike Authority has provided the following Rights of Way and Easement data for all ten Oklahoma turnpikes.","
      2013 Turnpike Authority Rights Of Way Inventory List    "
http://data.ok.gov/sites/default/files/res_oklahoma_housing_finance_agency_funded_developments_-_in-service_sr6c-962g.csv,"A listing of OHFA funded multi-family developments across the state. Includes HOME, Affordable Housing Tax Credits and others.","
      Oklahoma Housing Finance Agency Funded Developments - In-Service    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_september_2014_qvwk-vwzq.csv,A detailed listing of all state revolving funds and the amount.,"
      Revolving Funds - September 2014    "
http://data.ok.gov/sites/default/files/res_non-appropriated_agencies_nxnf-828a.csv,"List of non-appropriated State of Oklahoma agencies, their FY-2013 budget, and full-time equivalent (FTE) positions.","
      Non-Appropriated Agencies    "
http://data.ok.gov/sites/default/files/res_oklahoma_tuition_aid_grant_%28otag%29_award_-_line_chart_qcnd-7g7g.csv,Increase the percentage of eligible students who receive the Oklahoma Tuition Aid Grant (OTAG) award from 44.2% in 2014 to 46.2% by 2018.,"
      Oklahoma Tuition Aid Grant (OTAG) Award    "
http://data.ok.gov/sites/default/files/res_state_industry_exports_-_column_chart_pesh-wfg9.csv,Increase state industry exports from $220.05 billion in 2013 to $247.67 billion by 2017.,"
      State Industry Exports    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_march_2014_sf6h-q3yc.csv,A detailed listing of all state revolving funds and the amount.,"
      Revolving Funds - March 2014    "
http://data.ok.gov/sites/default/files/res_state_of_oklahoma_county_government_websites_s6xe-7i6x.csv,List of State of Oklahoma county government websites.,"
      State of Oklahoma County Government Websites    "
http://data.ok.gov/sites/default/files/res_purchase_card_%28pcard%29_-_fiscal_year_2012_p38x-nrvb.csv,"This dataset contains information on purchases made through the purchase card programs administered by the state and higher ed institutions. The purchase card information will be updated monthly after the end of the month. For example, July information will be added in August.","
      Purchase Card (PCard) - Fiscal Year 2012    "
http://data.ok.gov/sites/default/files/res_fiscal_year_2013_tax_credits_sr49-8cwt.csv,Tax credit information represents a credit pursuant to the Oklahoma Income Tax Act against tax liability which is taken by a taxpayer.,"
      Fiscal Year 2013 Tax Credits    "
http://data.ok.gov/sites/default/files/res_pre-term_births_rgr3-jh5g.csv,Decrease the percentage of preterm births from 13% in 2012 to 11.8% by 2018.,"
      Pre-Term Births    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_october_2013_snxw-ex7z.csv,A detailed listing of all state revolving funds and the amount.,"
      Revolving Funds - October 2013    "
http://data.ok.gov/sites/default/files/res_income_poverty_rate_-_line_chart_w3qw-dt6b.csv,Decrease the state income poverty rate from 16.8% in 2013 to 15.3% by 2017.,"
      Income Poverty Rate    "
http://data.ok.gov/sites/default/files/res_remedial_coursework_-_line_chart_hm84-aihy.csv,Decrease the percentage of students enrolled in remedial coursework in college from 39.38% in 2014 to 35% by 2018.,"
      Remedial Coursework    "
http://data.ok.gov/sites/default/files/res_prescription_monitoring_program_-_line_chart_7fy3-xh64.csv,"Increase the active number of users requesting information from the Prescription Monitoring Program from 6,486 in 2014 to 8,634 by 2017.","
      Prescription Monitoring Program    "
http://data.ok.gov/sites/default/files/res_oklahoma_housing_finance_agency_ohfa_advantage_lenders_s4e5-2ufk.csv,List of Oklahoma Housing Finance Agency OHFA Advantage Lenders in the State of Oklahoma.,"
      Oklahoma Housing Finance Agency OHFA Advantage Lenders    "
http://data.ok.gov/sites/default/files/res_2013_real_property_inventory_map_wm97-uj6t.csv,"The Real Property Inventory List is a comprehensive listing of all properties owned by the State of Oklahoma as reported to the OMES. The properties listed are sorted by agency, whether the property is owned or leased, and location.","
      2013 Real Property Inventory List    "
http://data.ok.gov/sites/default/files/res_stem_summer_academies_-_line_chart_59sp-9s3y.csv,"Increase the number of STEM (Science, Technology, Engineering, Mathematics) summer academies from 32 in 2014 to 50 by 2018.","
      STEM Summer Academies    "
http://data.ok.gov/sites/default/files/res_information_and_financial_services_exports_u4jm-wkke.csv,Increase Information and Financial Services exports from $7.464 billion in 2013 to $8.401 billion by 2017.,"
      Information and Financial Services Exports    "
http://data.ok.gov/sites/default/files/res_ok_higher_ed_map_5tj2-ukpt.csv,Find higher education facilities in the state of Oklahoma.,"
      Oklahoma Institutions of Higher Education    "
http://data.ok.gov/sites/default/files/res_2014_turnpike_authority_rights_of_way_inventory_list_tcpv-xf67.csv,"The Turnpike Authority is authorized to construct, maintain, repair and operate turnpike projects at locations authorized by the Legislature of the State of Oklahoma and approved by the Department of Transportation. The Turnpike Authority has provided the following Rights of Way and Easement data for all ten Oklahoma turnpikes.","
      2014 Turnpike Authority Rights Of Way Inventory List    "
http://data.ok.gov/sites/default/files/res_revolving_funds_january_2015_t8ps-9ek7.csv,A detailed listing of all state revolving funds and the amount.,"
      Revolving Funds January 2015    "
http://data.ok.gov/sites/default/files/res_energy_star_portfolio_average_rating_column_chart_exah-5dw8.csv,"The average Energy Star rating at the start of each fiscal year (beginning on July 1, 2008) for the buildings managed by the Office of Management and Enterprise Services (OMES) Division of Capital Assets Management (DCAM).","
      Energy Star Portfolio Average Rating    "
http://data.ok.gov/sites/default/files/res_2013_report_of_underutilized_properties-tier_2_v5vb-ishf.csv,"The Tier 2 Underutilized Property Report contains only underutilized properties that are suitable for divestment by the State of Oklahoma.  Properties located within a campus or with deed restrictions, reversion clauses or located within a campus do not appear in the Tier 2 Underutilized Report.  Properties with future plans for utilization, generating an income, used in support of the agency mission or with environmental issues that make them unsuitable for divestment are excluded from the Tier 2 Underutilized Property Report.   Underutilized properties are defined as buildings, facilities, and land that were reported as being utilized 50% or less.","
      2013 Report of Underutilized Properties-Tier 2    "
http://data.ok.gov/sites/default/files/res_oklahoma_lottery_commission_retailer_ranking_from_july_1%2C_2012-nov._3%2C_2012_tequ-fms8.csv,"Oklahoma Lottery Commission retailer ranking based on total sales for all retailers and terminal types from July 1, 2012 to Nov. 3, 2012.","
      Oklahoma Lottery Commission Retailer Ranking From July 1, 2012-Nov. 3, 2012    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_august_2014_v5e7-bwvc.csv,A detailed listing of all state revolving funds and the amount.,"
      Revolving Funds - August 2014    "
http://data.ok.gov/sites/default/files/res_initial_groundwater_assessment_-_column_chart_ax85-jq5v.csv,Increase the completion of the initial assessment of groundwater quality from 25% in 2013 to 100% by 2017.,"
      Initial Groundwater Assessment    "
http://data.ok.gov/sites/default/files/res_state_employee_new_hire_retention_v57m-qab5.csv,Increase the percentage of new state employee hires that are retained through 36 months from 49% in 2014 to 56% by 2019.,"
      State Employee New Hire Retention    "
http://data.ok.gov/sites/default/files/res_oklahoma_state_undertilized_properties_-_tier_1_map_2nhc-2ftk.csv,2012 Oklahoma State Underutilized Properties - Tier 1,"
      2012 Oklahoma State Underutilized Properties - Tier 1    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_april_2013_umdd-htef.csv,A detailed listing of all state revolving funds and the amount.,"
      Revolving Funds - April 2013    "
http://data.ok.gov/sites/default/files/res_state_of_oklahoma_payroll__q4_2014_uawb-szz3.csv,"The payroll data represents the amount paid to an employee during the reported time period. In addition to regular pay, these amounts may include other pay types such as overtime, longevity, shift differential or terminal pay. This amount does not include any state share costs associated with the payroll i.e. FICA, state share retirement, etc. This amount may vary from an employee’s ‘salary’ due to pay adjustments or pay period timing. The payroll information will be updated monthly after the end of the month. For example, July information will be added in August.","
      State of Oklahoma Payroll  Q4 2014    "
http://data.ok.gov/sites/default/files/res_revolving_funds_-_nov_2011_utpp-9yn5.csv,A detailed listing of all state revolving funds and the amount contained in each fund to be updated on a monthly basis,"
      Revolving Funds - Nov 2011    "
http://data.ok.gov/sites/default/files/res_active_space_requests_ur4h-9t5c.csv,Current active space requests.,"
      Active Space Requests    "
http://data.ok.gov/sites/default/files/res_labor_force_vghj-9gt3.csv,Bureau of Labor Statistics data on local area unemployment statistics.,"
      Labor Force    "
http://data.ok.gov/sites/default/files/res_testing_user_content_creation_j6ex-w9ya.csv,"The payroll data represents the amount paid to an employee during the reported time period. In addition to regular pay, these amounts may include other pay types such as overtime, longevity, shift differential or terminal pay. This amount does not include any state share costs associated with the payroll i.e. FICA, state share retirement, etc. This amount may vary from an employee’s ‘salary’ due to pay adjustments or pay period timing. The payroll information will be updated monthly after the end of the month. For example, July information will be added in August.","
      State of Oklahoma Payroll - Q4 2010    "
http://data.ok.gov/sites/default/files/res_tax_delinquency_rate_w2qy-2yix.csv,Decrease the tax delinquency rate from 6% in 2013 to 3% by 2018.,"
      Tax Delinquency Rate    "
